REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,DEHYDMPH1,DEE1,1,2021,1.0
REGION1,DEHYDRPH1,DEE1,1,2021,1.0
REGION1,DKBFHPFH1,DKE1,1,2021,1.0
REGION1,DKBMSTPH1,DKE1,1,2021,1.0
REGION1,DKCOCHPH1,DKE1,1,2021,1.0
REGION1,DKHFCHPH1,DKE1,1,2021,1.0
REGION1,DKHFSTPH1,DKE1,1,2021,1.0
REGION1,DKHYDRPH1,DKE1,1,2021,1.0
REGION1,DKNGCCPH1,DKE1,1,2021,1.0
REGION1,DKNGCHPH1,DKE1,1,2021,1.0
REGION1,DKSOUTPH1,DKE1,1,2021,1.0
REGION1,DKWIOFPH1,DKE1,1,2021,1.0
REGION1,DKWIONPH1,DKE1,1,2021,1.0
REGION1,DKWSCHPH1,DKE1,1,2021,1.0
REGION1,DKRGCHPH1,DKE1,1,2021,1.0
REGION1,DKDSCHPH1,DKE1,1,2021,1.0
REGION1,DKDSELH1,DKE1,1,2021,1.0
REGION1,DKBMCHPH1,DKE1,1,2021,1.0
REGION1,DKHYDMPH1,DKE1,1,2021,1.0
REGION1,EEHFSTPH1,EEE1,1,2021,1.0
REGION1,EEHYDRPH1,EEE1,1,2021,1.0
REGION1,EENGCHPH1,EEE1,1,2021,1.0
REGION1,EENGHPFH1,EEE1,1,2021,1.0
REGION1,EESOUTPH1,EEE1,1,2021,1.0
REGION1,EEWIONPH1,EEE1,1,2021,1.0
REGION1,EEWSCHPH1,EEE1,1,2021,1.0
REGION1,EELICHPH1,EEE1,1,2021,1.0
REGION1,EELIELH1,EEE1,1,2021,1.0
REGION1,EEBFCHPH1,EEE1,1,2021,1.0
REGION1,EEDGCHPH1,EEE1,1,2021,1.0
REGION1,EEDGELH1,EEE1,1,2021,1.0
REGION1,EEBMCHPH1,EEE1,1,2021,1.0
REGION1,EEBMSTPH1,EEE1,1,2021,1.0
REGION1,GRBFHPFH1,GRE1,1,2021,1.0
REGION1,GRBMSTPH1,GRE1,1,2021,1.0
REGION1,GRHFCHPH1,GRE1,1,2021,1.0
REGION1,GRHFSTPH1,GRE1,1,2021,1.0
REGION1,GRHYDMPH1,GRE1,1,2021,1.0
REGION1,GRHYDRPH1,GRE1,1,2021,1.0
REGION1,GRNGCCPH1,GRE1,1,2021,1.0
REGION1,GRNGCHPH1,GRE1,1,2021,1.0
REGION1,GRSOUTPH1,GRE1,1,2021,1.0
REGION1,GRWIONPH1,GRE1,1,2021,1.0
REGION1,GRLICHPH1,GRE1,1,2021,1.0
REGION1,GRLIELH1,GRE1,1,2021,1.0
