REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,AOE3,S4P2,2021,0.1154695859023588
REGION1,AOE3,S4P3,2021,0.0496005858863617
REGION1,AOE3,S4P4,2021,0.0284056636781907
REGION1,BIE3,S1P1,2021,0.0709662328559035
REGION1,BIE3,S1P2,2021,0.11890610728769
REGION1,BIE3,S1P3,2021,0.0610993791036703
REGION1,BIE3,S1P4,2021,0.028597243693467
REGION1,BIE3,S2P1,2021,0.0577842697429083
REGION1,BIE3,S2P2,2021,0.101215089271318
REGION1,BIE3,S2P3,2021,0.0543076396083361
REGION1,BIE3,S2P4,2021,0.0228936222834395
REGION1,BIE3,S3P1,2021,0.0516828231772021
REGION1,BIE3,S3P2,2021,0.0942404947284312
REGION1,BIE3,S3P3,2021,0.0512626002743268
REGION1,BIE3,S3P4,2021,0.0203492376215607
REGION1,BIE3,S4P1,2021,0.0658487428573418
REGION1,BIE3,S4P2,2021,0.1150722764174012
REGION1,BIE3,S4P3,2021,0.0593167092378459
REGION1,BIE3,S4P4,2021,0.0264575318391571
REGION1,BJE3,S1P1,2021,0.0585786778803534
REGION1,BJE3,S1P2,2021,0.1049965154322423
REGION1,BJE3,S1P3,2021,0.0583312216795623
REGION1,BJE3,S1P4,2021,0.0270438935788813
REGION1,BJE3,S2P1,2021,0.0598769679540378
REGION1,BJE3,S2P2,2021,0.1063055419223808
REGION1,BJE3,S2P3,2021,0.0582187075659229
REGION1,BJE3,S2P4,2021,0.0276623496982295
